Enrollment
10/12/2024

Year,Level,Division,Grade,Count
"2023 - 2024",DIV,"Charlotte County Public Schools",08,118
"2023 - 2024",DIV,"Charlotte County Public Schools",09,133
"2023 - 2024",DIV,"Charlotte County Public Schools",10,138
"2023 - 2024",DIV,"Charlotte County Public Schools",11,96
"2023 - 2024",DIV,"Charlotte County Public Schools",12,110
"2023 - 2024",DIV,"Charlottesville City Public Schools",,4444
"2023 - 2024",DIV,"Charlottesville City Public Schools",PK,213
"2023 - 2024",DIV,"Charlottesville City Public Schools",KG,311
"2023 - 2024",DIV,"Charlottesville City Public Schools",01,363
"2023 - 2024",DIV,"Charlottesville City Public Schools",02,335
"2023 - 2024",DIV,"Charlottesville City Public Schools",03,332
"2023 - 2024",DIV,"Charlottesville City Public Schools",04,311
"2023 - 2024",DIV,"Charlottesville City Public Schools",05,303
"2023 - 2024",DIV,"Charlottesville City Public Schools",06,304
"2023 - 2024",DIV,"Charlottesville City Public Schools",07,274
"2023 - 2024",DIV,"Charlottesville City Public Schools",08,287
"2023 - 2024",DIV,"Charlottesville City Public Schools",09,396
"2023 - 2024",DIV,"Charlottesville City Public Schools",10,412
"2023 - 2024",DIV,"Charlottesville City Public Schools",11,321
"2023 - 2024",DIV,"Charlottesville City Public Schools",12,282
"2023 - 2024",DIV,"Chesapeake City Public Schools",,40640
"2023 - 2024",DIV,"Chesapeake City Public Schools",PK,806
"2023 - 2024",DIV,"Chesapeake City Public Schools",KG,2526
"2023 - 2024",DIV,"Chesapeake City Public Schools",01,2874
"2023 - 2024",DIV,"Chesapeake City Public Schools",02,3041
"2023 - 2024",DIV,"Chesapeake City Public Schools",03,2993
"2023 - 2024",DIV,"Chesapeake City Public Schools",04,2885
"2023 - 2024",DIV,"Chesapeake City Public Schools",05,2879
"2023 - 2024",DIV,"Chesapeake City Public Schools",06,3189
"2023 - 2024",DIV,"Chesapeake City Public Schools",07,3019
"2023 - 2024",DIV,"Chesapeake City Public Schools",08,3188
"2023 - 2024",DIV,"Chesapeake City Public Schools",09,3449
"2023 - 2024",DIV,"Chesapeake City Public Schools",10,3342
"2023 - 2024",DIV,"Chesapeake City Public Schools",11,3236
"2023 - 2024",DIV,"Chesapeake City Public Schools",12,3213
"2023 - 2024",DIV,"Chesterfield County Public Schools",,64183
"2023 - 2024",DIV,"Chesterfield County Public Schools",PK,946
"2023 - 2024",DIV,"Chesterfield County Public Schools",KG,4361
"2023 - 2024",DIV,"Chesterfield County Public Schools",01,4636
"2023 - 2024",DIV,"Chesterfield County Public Schools",02,4813
"2023 - 2024",DIV,"Chesterfield County Public Schools",03,4622
"2023 - 2024",DIV,"Chesterfield County Public Schools",04,4695
"2023 - 2024",DIV,"Chesterfield County Public Schools",05,4880
